[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/api/?${jndi:dns://MDEDiscoveryd09602f9cbSeenInTheWildGet-8080}"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/index.html?${jndi:dns://MDEDiscoveryd09602f9cbSeenInTheWildGet-8080}"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/login"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | POST     "/"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | POST     "/:undefined"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | POST     "/login"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/cgi-bin/"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/JSPWiki/wiki/${jndi:dns://MDEDiscoveryd09602f9cbApacheJspWiki-8080}"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/webtools/control/main"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | POST     "/broker/xml"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | POST     "/broker/xml"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/cgi-bin/"
[GIN] 2022/07/13 - 13:05:24 | 404 |            0s |       127.0.0.1 | GET      "/portal/info.jsp"
[GIN] 2022/07/13 - 13:05:25 | 404 |            0s |       127.0.0.1 | GET      "/?x=${jndi:dns://MDEDiscoveryd09602f9cbxParam-8080}"
[GIN] 2022/07/13 - 13:05:25 | 404 |            0s |       127.0.0.1 | POST     "/?v=${jndi:dns://MDEDiscoveryd09602f9cbvPostParam-8080}"
[GIN] 2022/07/13 - 13:05:25 | 404 |            0s |       127.0.0.1 | POST     "/?param=${jndi:dns://MDEDiscoveryd09602f9cbParamUriParam-8080}"
[GIN] 2022/07/13 - 13:05:25 | 404 |            0s |       127.0.0.1 | GET      "/?v=${jndi:dns://MDEDiscoveryd09602f9cbvGetParam-8080}"
[GIN] 2022/07/13 - 13:05:25 | 404 |            0s |       127.0.0.1 | POST     "/"
[GIN] 2022/07/13 - 13:05:25 | 404 |            0s |       127.0.0.1 | GET      "/"
exit status 0xc000013a
